127.0.0.1 - - [18/Nov/2019:10:49:51 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:49:51 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:49:51 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:49:51 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:50:13 +0530] "POST /RestAPI/webapi/myresource/registerJ HTTP/1.1" 204 -
127.0.0.1 - - [18/Nov/2019:10:50:20 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 329
127.0.0.1 - - [18/Nov/2019:10:50:30 +0530] "POST /RestAPI/webapi/myresource/forum/ HTTP/1.1" 204 -
127.0.0.1 - - [18/Nov/2019:10:50:30 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 329
127.0.0.1 - - [18/Nov/2019:10:51:20 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 388
127.0.0.1 - - [18/Nov/2019:10:51:20 +0530] "POST /RestAPI/webapi/myresource/forum/ HTTP/1.1" 204 -
127.0.0.1 - - [18/Nov/2019:10:51:27 +0530] "POST /RestAPI/webapi/myresource/forum/ HTTP/1.1" 204 -
127.0.0.1 - - [18/Nov/2019:10:51:27 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 530
127.0.0.1 - - [18/Nov/2019:11:01:19 +0530] "GET /chat HTTP/1.1" 404 1078
